timestamp,source,event_id,host,user,activity,evidence,attack_technique,analyst_note,record_id,process_guid,logon_id,related_records
2026-09-23T09:00:10.000000Z,Security,4625,SYN-WIN-04,SYNTH\ops.admin,Failed logon,"{""Account"":""SYNTH\\ops.admin"",""Computer"":""SYN-WIN-04"",""EventID"":""4625"",""IpAddress"":""198.51.100.24"",""LogonType"":""10"",""PrivilegeList"":"""",""ProcessName"":"""",""RecordId"":""SEC-007"",""SubjectLogonId"":"""",""SubjectUserName"":"""",""TargetLogonId"":"""",""TargetUserName"":""ops.admin"",""TimeGenerated"":""2026-09-23T09:00:10Z""}",,Synthetic observation; no automated maliciousness conclusion.,SEC-007,,,
2026-09-23T09:00:20.000000Z,Security,4625,SYN-WIN-04,SYNTH\ops.admin,Failed logon,"{""Account"":""SYNTH\\ops.admin"",""Computer"":""SYN-WIN-04"",""EventID"":""4625"",""IpAddress"":""198.51.100.24"",""LogonType"":""10"",""PrivilegeList"":"""",""ProcessName"":"""",""RecordId"":""SEC-008"",""SubjectLogonId"":"""",""SubjectUserName"":"""",""TargetLogonId"":"""",""TargetUserName"":""ops.admin"",""TimeGenerated"":""2026-09-23T09:00:20Z""}",,Synthetic observation; no automated maliciousness conclusion.,SEC-008,,,
2026-09-23T09:01:00.000000Z,Security,4624,SYN-WIN-04,SYNTH\ops.admin,Successful logon,"{""Account"":""SYNTH\\ops.admin"",""Computer"":""SYN-WIN-04"",""EventID"":""4624"",""IpAddress"":""198.51.100.24"",""LogonType"":""10"",""PrivilegeList"":"""",""ProcessName"":""C:\\Windows\\System32\\svchost.exe"",""RecordId"":""SEC-009"",""SubjectLogonId"":"""",""SubjectUserName"":"""",""TargetLogonId"":""0x900"",""TargetUserName"":""ops.admin"",""TimeGenerated"":""2026-09-23T09:01:00Z""}",,Synthetic observation; no automated maliciousness conclusion.,SEC-009,,0x900,Security:SEC-010;Sysmon:SYS-005
2026-09-23T09:01:01.000000Z,Security,4672,SYN-WIN-04,SYNTH\ops.admin,Special privileges assigned,"{""Account"":""SYNTH\\ops.admin"",""Computer"":""SYN-WIN-04"",""EventID"":""4672"",""IpAddress"":"""",""LogonType"":"""",""PrivilegeList"":""SeDebugPrivilege SeBackupPrivilege"",""ProcessName"":"""",""RecordId"":""SEC-010"",""SubjectLogonId"":""0x900"",""SubjectUserName"":""ops.admin"",""TargetLogonId"":"""",""TargetUserName"":"""",""TimeGenerated"":""2026-09-23T09:01:01Z""}",,Synthetic observation; no automated maliciousness conclusion.,SEC-010,,0x900,Security:SEC-009;Sysmon:SYS-005
2026-09-23T09:02:00.000000Z,Sysmon,1,SYN-WIN-04,SYNTH\ops.admin,Process creation,"{""CommandLine"":""powershell.exe -NoProfile -WindowStyle Hidden -EncodedCommand VwByAGkAdABlAC0ATwB1AHQAcAB1AHQAIAAiAHMAeQBuAHQAaABlAHQAaQBjACIAOwAgACQAbgB1AGwAbAAgAD0AIABUAGUAcwB0AC0ATgBlAHQAQwBvAG4AbgBlAGMAdABpAG8AbgAgAC0AQwBvAG0AcAB1AHQAZQByAE4AYQBtAGUAIAAyADAAMwAuADAALgAxADEAMwAuADgAMAAgAC0AUABvAHIAdAAgADQANAAzADsAIABOAGUAdwAtAEkAdABlAG0AUAByAG8AcABlAHIAdAB5ACAALQBQAGEAdABoACAAIgBIAEsAQwBVADoAXABTAG8AZgB0AHcAYQByAGUAXABNAGkAYwByAG8AcwBvAGYAdABcAFcAaQBuAGQAbwB3AHMAXABDAHUAcgByAGUAbgB0AFYAZQByAHMAaQBvAG4AXABSAHUAbgAiACAALQBOAGEAbQBlACAATABhAGIAVQBwAGQAYQB0AGUAcgAgAC0AVgBhAGwAdQBlACAAIgBDADoAXABVAHMAZQByAHMAXABQAHUAYgBsAGkAYwBcAGwAYQBiAC0AdQBwAGQAYQB0AGUAcgAuAGUAeABlACIAIAAtAFAAcgBvAHAAZQByAHQAeQBUAHkAcABlACAAUwB0AHIAaQBuAGcA"",""Computer"":""SYN-WIN-04"",""DestinationIp"":"""",""DestinationPort"":"""",""Details"":"""",""EventID"":1,""EventType"":"""",""Image"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",""LogonId"":""0x900"",""ParentImage"":""C:\\Program Files\\Microsoft Office\\root\\Office16\\WINWORD.EXE"",""ProcessGuid"":""{c5871ac8-d6fd-52db-88e2-9ecd357ed841}"",""RecordId"":""SYS-005"",""TargetObject"":"""",""User"":""SYNTH\\ops.admin"",""UtcTime"":""2026-09-23T09:02:00Z""}",,Synthetic observation; no automated maliciousness conclusion.,SYS-005,{c5871ac8-d6fd-52db-88e2-9ecd357ed841},0x900,Security:SEC-009;Security:SEC-010;Sysmon:SYS-006;Sysmon:SYS-007
2026-09-23T09:02:05.000000Z,Sysmon,3,SYN-WIN-04,SYNTH\ops.admin,Network connection,"{""CommandLine"":"""",""Computer"":""SYN-WIN-04"",""DestinationIp"":""203.0.113.80"",""DestinationPort"":443,""Details"":"""",""EventID"":3,""EventType"":"""",""Image"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",""LogonId"":"""",""ParentImage"":"""",""ProcessGuid"":""{c5871ac8-d6fd-52db-88e2-9ecd357ed841}"",""RecordId"":""SYS-006"",""TargetObject"":"""",""User"":""SYNTH\\ops.admin"",""UtcTime"":""2026-09-23T09:02:05Z""}",,Synthetic observation; no automated maliciousness conclusion.,SYS-006,{c5871ac8-d6fd-52db-88e2-9ecd357ed841},,Sysmon:SYS-005;Sysmon:SYS-007
2026-09-23T09:02:30.000000Z,Sysmon,13,SYN-WIN-04,SYNTH\ops.admin,Registry value set,"{""CommandLine"":"""",""Computer"":""SYN-WIN-04"",""DestinationIp"":"""",""DestinationPort"":"""",""Details"":""C:\\Users\\Public\\lab-updater.exe"",""EventID"":13,""EventType"":""SetValue"",""Image"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",""LogonId"":"""",""ParentImage"":"""",""ProcessGuid"":""{c5871ac8-d6fd-52db-88e2-9ecd357ed841}"",""RecordId"":""SYS-007"",""TargetObject"":""HKU\\S-1-5-21-111111111-222222222-333333333-1104\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\LabUpdater"",""User"":""SYNTH\\ops.admin"",""UtcTime"":""2026-09-23T09:02:30Z""}",,Synthetic observation; no automated maliciousness conclusion.,SYS-007,{c5871ac8-d6fd-52db-88e2-9ecd357ed841},,Sysmon:SYS-005;Sysmon:SYS-006
2026-09-23T09:03:00.000000Z,Security,4624,SYN-WIN-04,NT AUTHORITY\SYSTEM,Successful logon,"{""Account"":""NT AUTHORITY\\SYSTEM"",""Computer"":""SYN-WIN-04"",""EventID"":""4624"",""IpAddress"":"""",""LogonType"":""5"",""PrivilegeList"":"""",""ProcessName"":""C:\\Windows\\System32\\svchost.exe"",""RecordId"":""SEC-011"",""SubjectLogonId"":"""",""SubjectUserName"":"""",""TargetLogonId"":""0x3e7"",""TargetUserName"":""SYSTEM"",""TimeGenerated"":""2026-09-23T09:03:00Z""}",,Synthetic observation; no automated maliciousness conclusion.,SEC-011,,0x3e7,Security:SEC-012
2026-09-23T09:03:01.000000Z,Security,4672,SYN-WIN-04,NT AUTHORITY\SYSTEM,Special privileges assigned,"{""Account"":""NT AUTHORITY\\SYSTEM"",""Computer"":""SYN-WIN-04"",""EventID"":""4672"",""IpAddress"":"""",""LogonType"":"""",""PrivilegeList"":""SeDebugPrivilege SeBackupPrivilege"",""ProcessName"":"""",""RecordId"":""SEC-012"",""SubjectLogonId"":""0x3e7"",""SubjectUserName"":""SYSTEM"",""TargetLogonId"":"""",""TargetUserName"":"""",""TimeGenerated"":""2026-09-23T09:03:01Z""}",,Synthetic observation; no automated maliciousness conclusion.,SEC-012,,0x3e7,Security:SEC-011
2026-09-23T09:04:00.000000Z,Sysmon,13,SYN-WIN-04,SYNTH\ops.admin,Registry value set,"{""CommandLine"":"""",""Computer"":""SYN-WIN-04"",""DestinationIp"":"""",""DestinationPort"":"""",""Details"":""C:\\Users\\Public\\cache"",""EventID"":13,""EventType"":""SetValue"",""Image"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",""LogonId"":"""",""ParentImage"":"""",""ProcessGuid"":""{4341eecb-48c4-5227-8447-c249758483d0}"",""RecordId"":""SYS-008"",""TargetObject"":""HKLM\\SOFTWARE\\ExampleVendor\\Settings\\CachePath"",""User"":""SYNTH\\ops.admin"",""UtcTime"":""2026-09-23T09:04:00Z""}",,Synthetic observation; no automated maliciousness conclusion.,SYS-008,{4341eecb-48c4-5227-8447-c249758483d0},,
2026-09-23T09:05:00.000000Z,Security,4624,SYN-WIN-04,SYNTH\lee,Successful logon,"{""Account"":""SYNTH\\lee"",""Computer"":""SYN-WIN-04"",""EventID"":""4624"",""IpAddress"":""198.51.100.30"",""LogonType"":""10"",""PrivilegeList"":"""",""ProcessName"":""C:\\Windows\\System32\\svchost.exe"",""RecordId"":""SEC-013"",""SubjectLogonId"":"""",""SubjectUserName"":"""",""TargetLogonId"":""0x130"",""TargetUserName"":""lee"",""TimeGenerated"":""2026-09-23T09:05:00Z""}",,Synthetic observation; no automated maliciousness conclusion.,SEC-013,,0x130,
2026-09-23T09:06:00.000000Z,Sysmon,1,SYN-WIN-04,SYNTH\ops.admin,Process creation,"{""CommandLine"":""powershell.exe -EncodedCommand VwByAGkAdABlAC0ATwB1AHQAcAB1AHQAIAAnAHMAeQBuAHQAaABlAHQAaQBjACcA"",""Computer"":""SYN-WIN-04"",""DestinationIp"":"""",""DestinationPort"":"""",""Details"":"""",""EventID"":1,""EventType"":"""",""Image"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",""LogonId"":""0x110"",""ParentImage"":""C:\\Windows\\System32\\taskeng.exe"",""ProcessGuid"":""{be90280d-5e79-59d1-ac98-6d4ff320b52e}"",""RecordId"":""SYS-009"",""TargetObject"":"""",""User"":""SYNTH\\ops.admin"",""UtcTime"":""2026-09-23T09:06:00Z""}",,Synthetic observation; no automated maliciousness conclusion.,SYS-009,{be90280d-5e79-59d1-ac98-6d4ff320b52e},0x110,Security:SEC-002;Security:SEC-003;Sysmon:SYS-002
2026-09-23T09:07:00.000000Z,Sysmon,3,SYN-WIN-04,SYNTH\lee,Network connection,"{""CommandLine"":"""",""Computer"":""SYN-WIN-04"",""DestinationIp"":""203.0.113.81"",""DestinationPort"":443,""Details"":"""",""EventID"":3,""EventType"":"""",""Image"":""C:\\Program Files\\ExampleBrowser\\browser.exe"",""LogonId"":"""",""ParentImage"":"""",""ProcessGuid"":""{83662a2a-8aeb-5bc1-8eb9-132c9400b8ad}"",""RecordId"":""SYS-010"",""TargetObject"":"""",""User"":""SYNTH\\lee"",""UtcTime"":""2026-09-23T09:07:00Z""}",,Synthetic observation; no automated maliciousness conclusion.,SYS-010,{83662a2a-8aeb-5bc1-8eb9-132c9400b8ad},,
